BinLocationName,ArticleSKU
HL-02-01-F-5A,PCK-00-115352-1
HL-02-01-F-5B,PTN-11-101343-2
HL-02-01-F-6A,DAI-00-10141-2
HL-02-01-F-6B,PTN-11-138011-1
HL-02-01-F-7A,CON-11-90505-2
HL-02-01-F-7B,DAI-11-116265-3
HL-02-01-F-8B,PTN-11-119517-2
HL-02-02-B-1B,PTN-11-129905-2
HL-02-02-B-1C,PTN-11-100667-2
HL-02-02-B-2B,PTN-11-119516-2
HL-02-02-B-2C,PTN-11-10001-2
HL-02-02-B-3B,PTN-11-100668-2
HL-02-02-B-3C,PRO-00-133293-3
HL-02-02-B-4B,PTN-11-90545-2
HL-02-02-B-4C,DAI-00-150290-3
HL-02-02-F-1A,CON-11-90504-2
HL-02-02-F-1B,DAI-11-116266-3
HL-02-02-F-2A,DAI-00-10141-2
HL-02-02-F-2B,PRO-00-151766-5
HL-02-02-F-3A,ICB-F2-1F777C-2
HL-02-02-F-3B,DAI-11-10039-2
HL-02-02-F-4A,CON-00-121750-3
HL-02-02-F-4B,PTN-11-101341-2
HL-02-02-F-5A,PCK-00-115352-1
HL-02-02-F-5B,PTN-11-101343-2
HL-02-02-F-6A,DAI-11-125283-3
HL-02-02-F-6B,DAI-00-50213-2
HL-02-02-F-7A,ICB-0E-3133A7-4
HL-02-02-F-7B,PTN-11-138329-2
HL-02-02-F-8B,CON-00-150976-2
HL-02-03-B-1B,PTN-11-134468-1
HL-02-03-B-1C,PTN-11-138012-1
HL-02-03-B-2B,PTN-11-138336-2
HL-02-03-B-2C,DAI-00-150290-3
HL-02-03-B-3B,PTN-11-138332-2
HL-02-03-B-3C,PRO-00-133293-3
HL-02-03-B-4B,PTN-11-101344-2
HL-02-03-B-4C,PTN-11-131792-2
HL-02-03-F-1A,CON-11-90504-2
HL-02-03-F-1B,PTN-11-90560-2
HL-02-03-F-2A,PTN-00-130349-3
HL-02-03-F-2B,DAI-11-116264-3
HL-02-03-F-3A,PTN-11-101341-2
HL-02-03-F-3B,BAK-00-102699-3
HL-02-03-F-4A,CON-00-121753-3
HL-02-03-F-5A,PCK-00-115352-1
HL-02-03-F-5B,PTN-11-101343-2
HL-02-03-F-6A,ICB-D1-564980-5
HL-02-03-F-6B,DRY-00-138387-3
HL-02-03-F-7A,ICB-6E-3D90EA-9
HL-02-03-F-7B,PTN-11-138329-2
HL-02-03-F-8B,DRY-00-001930-2
HL-02-04-B-1B,PTN-11-139601-1
HL-02-04-B-1C,CON-00-137192-3
HL-02-04-B-2B,PTN-11-148093-3
HL-02-04-B-2C,DAI-00-115401-3
HL-02-04-B-3B,PTN-00-121055-3
HL-02-04-B-3C,PTN-00-136097-2
HL-02-04-B-4B,DAI-11-125531-3
HL-02-04-B-4C,PTN-11-119515-2
HL-02-04-F-1A,CON-11-90506-2
HL-02-04-F-1B,PTN-11-90560-2
HL-02-04-F-2A,DAI-00-10141-2
HL-02-04-F-2B,DAI-11-116264-3
HL-02-04-F-5A,PCK-00-115352-1
HL-02-04-F-6A,DAI-11-125283-3
HL-02-04-F-6B,DAI-00-50213-2
HL-02-04-F-7A,CON-00-150977-2
HL-02-04-F-7B,PTN-11-138329-2
HL-02-04-F-8B,PTN-11-131794-2
HL-02-05-B-1B,CON-00-137189-3
HL-02-05-B-1C,PTN-11-100664-2
HL-02-05-B-2B,PTN-11-151646-2
HL-02-05-B-2C,DAI-00-150291-3
HL-02-05-B-3B,DRY-00-138388-3
HL-02-05-B-3C,PTN-11-119517-2
HL-02-05-B-4B,PHF-11-128692-3
HL-02-05-B-4C,PTN-11-131792-2
HL-02-05-F-1A,PTN-00-134085-3
HL-02-05-F-1B,CON-11-130119-3
HL-02-05-F-2A,PRO-00-90579-2
HL-02-05-F-2B,DAI-00-004414-2
HL-02-05-F-3A,PTN-11-101341-2
HL-02-05-F-3B,BEV-00-150316-3
HL-02-05-F-4A,ICB-F8-F36127-F
HL-02-05-F-5A,PCK-00-115352-1
HL-02-05-F-5B,BAK-00-102699-3
