Packaging info,Ingredient,SKU
03 Meal Kit,"Avocado, Hass (180g)",PHF-11-150274-5
02 Kühlpflichtig,Hähnchengeschnetzeltes mariniert (250g) [QS],PTN-11-50463-2
02 Kühlpflichtig,Rinderhüftsteak-Weiderind (375g) [3 Stück],PTN-11-138336-2
02 Kühlpflichtig,Ingwerpaste (10g),PRO-00-151766-5
03 Meal Kit,Bio Kresse grün (20g),PHF-11-10746-3
03 Meal Kit,Chilischote rot (15g),PHF-11-10042-3
03 Meal Kit,Aprikosenwürfel getrocknet (40g),DRY-00-137468-5
04 Assembly,Brokkolini (200g),PHF-11-10025-3
04 Assembly,Brokkolini (100g),PHF-11-132589-3
03 Meal Kit,Mayonnaise (50g),PRO-00-123234-5
03 Meal Kit,Basmatireis (225g) [V],DRY-00-10474-5
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Mayonnaise (25g),PRO-00-123235-5
03 Meal Kit,Veg. weiße Miso Paste (50g) [V],PRO-00-90453-5
03 Meal Kit,Teriyaki Sauce (50g) [V],PRO-00-90560-5
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
04 Assembly,Brokkolini (200g),PHF-11-10025-3
02 Kühlpflichtig,Rinderhüftsteak-Weiderind (250g) [2 Stück],PTN-11-138334-2
03 Meal Kit,Veg. weiße Miso Paste (50g) [V],PRO-00-90453-5
02 Kühlpflichtig,Ingwerpaste (10g),PRO-00-151766-5
03 Meal Kit,Teriyaki Sauce (50g) [V],PRO-00-90560-5
03 Meal Kit,Mayonnaise (50g),PRO-00-123234-5
03 Meal Kit,Chilischote rot (15g),PHF-11-10042-3
03 Meal Kit,Bio Kresse grün (20g),PHF-11-10746-3
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Aprikosenwürfel getrocknet (40g),DRY-00-137468-5
03 Meal Kit,Basmatireis (300g) [V],DRY-00-10277-5
03 Meal Kit,Hello Harissa (4g),SPI-00-90510-5
03 Meal Kit,Pflaumenkonfitüre 45 % Fruchtanteil (20g),PRO-00-124699-5
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
02 Kühlpflichtig,Hähnchenbrustfilet in Lake (250g) [2 Stück] [QS],PTN-11-101341-2
03 Meal Kit,Schalotte (50g),PHF-11-10276-3
03 Meal Kit,Hühnerbrühe (8g),SPI-00-50299-5
03 Meal Kit,Ofenkartoffel groß (175g),PHF-11-10187-3
04 Assembly,Buschbohnen (400g),PHF-11-10029-3
03 Meal Kit,Balsamico Creme (12g) [V],PRO-00-10716-5
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
03 Meal Kit,Pastinaken (130g),PHF-11-132614-5
03 Meal Kit,Karotte ohne Strunk orange (100g),PHF-11-10107-3
03 Meal Kit,Kochsahne 15% (150g),DAI-11-100317-5
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
03 Meal Kit,Basilikum/Oregano frisch (10g),PHF-11-10572-3
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Rigatoni (270g) [V],DRY-00-002449-5
03 Meal Kit,Hühnerbrühe (6g),SPI-00-50298-5
02 Kühlpflichtig,Bio Rinderhackfleischzubereitung (250g),PTN-11-138011-1
03 Meal Kit,Gemüsezwiebel gelb (70g),PHF-11-132610-5
02 Kühlpflichtig,Hartkäse ital. Art gerieben (40g) [VEG],DAI-00-10141-2
03 Meal Kit,Tomatenpesto (25g) [V],PRO-00-90448-5
03 Meal Kit,Hello Harissa (4g),SPI-00-90510-5
02 Kühlpflichtig,Super Ginger shot - 60ml,BEV-00-150316-3
02 Kühlpflichtig,Turmeric shot - 60ml,BEV-00-150317-3
03 Meal Kit,Sesamöl (20ml) [V],PRO-00-10080-5
02 Kühlpflichtig,Bio Hähnchenbruststreifen (375g),PTN-11-148023-3
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Karotte ohne Strunk orange (100g),PHF-11-10107-3
04 Assembly,Spargel grün (300g),PHF-11-10288-3
03 Meal Kit,"Avocado, Hass (180g)",PHF-11-150274-5
03 Meal Kit,Teriyaki Sauce (50g) [V],PRO-00-90560-5
03 Meal Kit,Sesam geröstet (20g),SPI-00-131931-5
03 Meal Kit,Limette (75g),PHF-11-10404-3
03 Meal Kit,Vegane Mayonnaise (25g),PRO-00-90565-5
03 Meal Kit,Erdnussbutter (25g) [V],PRO-00-90427-5
03 Meal Kit,Jasminreis (225g) [V],DRY-00-10478-5
03 Meal Kit,Sriracha (8ml) [V],PRO-00-50292-5
03 Meal Kit,Gemüsezwiebel gelb (100g),PHF-11-10074-3
03 Meal Kit,Hello Piri Piri (4g),SPI-00-90522-5
02 Kühlpflichtig,Pikante Paprika Soße (160g) [V],PRO-00-004323-2
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
03 Meal Kit,Basmatireis (150g) [V],DRY-00-10012-5
04 Assembly,Blumenkohl (500g),PHF-11-10022-3
03 Meal Kit,Thymian gerebelt (1g),SPI-00-11655-5
02 Kühlpflichtig,"Bio Naturjoghurt mild, mind. 3,5% Fett (75g)",DAI-11-116264-3
03 Meal Kit,Hello Smoky Paprika (3g),SPI-00-90508-5
03 Meal Kit,Petersilie glatt (10g),PHF-11-10791-3
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Chilischote rot (15g),PHF-11-10042-3
03 Meal Kit,Gemüsebrühe (4g),SPI-00-11573-5
03 Meal Kit,Farfalle (360g) [V],DRY-00-001697-5
03 Meal Kit,Basilikum (10g),PHF-11-10544-3
03 Meal Kit,Hello Buon Appetito (2g),SPI-00-90512-5
03 Meal Kit,Gemüsebrühe (4g),SPI-00-11573-5
03 Meal Kit,Kirschtomaten rot (125g),PHF-11-00009-3
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
03 Meal Kit,Tomatenpesto (50g) [V],PRO-00-90449-5
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
03 Meal Kit,Zucchini grün (220g),PHF-11-10322-3
02 Kühlpflichtig,Frischecreme 13% (100g),DAI-00-131994-3
02 Kühlpflichtig,Mozzarella [Veg] (125g),DAI-11-10039-2
03 Meal Kit,Basilikum Paste (15ml) [V],PRO-00-10754-3
03 Meal Kit,Schalotte (50g),PHF-11-10276-3
03 Meal Kit,Karotte ohne Strunk orange (100g),PHF-11-10107-3
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
02 Kühlpflichtig,Hähnchenbrustfilet in Lake (250g) [2 Stück] [QS],PTN-11-101341-2
03 Meal Kit,Kartoffeln mehlig kochend (750g),PHF-11-132609-5
04 Assembly,Champignons braun (200g),PHF-11-10031-3
03 Meal Kit,Schalotte (50g),PHF-11-10276-3
03 Meal Kit,Bärlauch (10g),PHF-11-10538-3
02 Kühlpflichtig,Bio Rinderhackfleischzubereitung (375g),PTN-11-138012-1
03 Meal Kit,Knoblauchzehe (4-5g),PHF-11-10164-3
04 Assembly,HelloFresh Rezeptkarte 1 1stück,OTH-00-10011-5
