BinLocationName,ArticleSKU
FK09-13-B,SPI-00-50271-5
FK09-14-A,DRY-00-002026-5
FK09-14-B,SPI-00-90523-5
FK09-15-A,PRO-00-90452-5
FK09-15-B,SPI-00-90490-5
FK09-16-A,DRY-00-10464-5
FK09-16-B,SPI-00-90522-5
FK09-17-A,PRO-00-90451-5
FK09-17-B,DRY-00-10466-5
FK10-1-A,PHF-11-10164-3
FK10-1-B,PCK-00-102737-5
FK10-2-A,PHF-11-10119-3
FK10-2-B,PCK-00-102736-5
FK10-3-A,PHF-11-132613-5
FK10-3-B,SPI-00-50342-5
FK10-4-A,PHF-11-132607-5
FK10-4-B,PRO-00-123229-5
FK10-5-A,PHF-11-10912-3
FK10-5-B,SPI-00-50343-5
FK10-6-A,PHF-11-10117-3
FK10-6-B,PHF-11-10794-3
FK10-7-A,PRO-00-128882-3
FK10-7-B,PRO-00-10064-5
FK10-8-A,PRO-00-90565-5
FK10-8-B,PRO-00-137168-5
FK11-1-A,DAI-11-100317-5
FK11-1-B,PCK-00-102737-5
FK11-2-A,PHF-11-10164-3
FK11-2-B,SPI-00-125403-5
FK11-3-A,DAI-11-100318-5
FK11-3-B,DRY-00-140908-5
FK11-4-A,DRY-00-001705-5
FK11-4-B,SPI-00-125402-5
FK11-5-A,PHF-11-10433-3
FK11-5-B,SPI-00-11574-5
FK11-6-A,DRY-00-001702-5
FK11-6-B,DRY-00-142139-5
FK11-7-A,PHF-11-10276-3
FK11-7-B,SPI-00-12021-5
FK11-8-A,DRY-00-001704-5
FK11-8-B,PHF-11-50239-3
FK12-1-A,PHF-11-10117-3
FK12-1-B,PCK-00-102737-5
FK12-2-A,PHF-11-10107-3
FK12-2-B,SPI-00-90520-5
FK12-3-A,PHF-11-132607-5
FK12-3-B,SPI-00-140276-5
FK12-4-A,PHF-11-132613-5
FK12-4-B,SPI-00-90521-5
FK12-5-A,PHF-11-10115-3
FK12-5-B,PHF-11-10538-3
FK12-6-A,PHF-11-10299-3
FK12-6-B,SPI-00-140277-5
FK12-7-A,PRO-00-123235-5
FK12-7-B,PHF-11-10539-3
FK12-8-A,PHF-11-10276-3
FK12-8-B,PHF-11-102520-3
FK13-1-A,PRO-00-10757-5
FK13-1-B,PCK-00-102736-5
FK13-2-A,SPI-00-90514-5
FK13-3-A,PHF-11-132611-5
FK13-3-B,SPI-00-50299-5
FK13-4-A,SPI-00-90518-5
FK13-4-B,PRO-00-13017-5
FK13-5-A,SPI-00-90513-5
FK13-6-A,PHF-11-10322-3
FK13-6-B,SPI-00-50298-5
FK13-7-A,PRO-00-90577-5
FK13-7-B,PHF-11-10836-3
FK13-8-A,PHF-11-10299-3
FK13-8-B,SPI-00-50271-5
FK14-1-A,PRO-00-10730-5
FK14-1-B,PCK-00-102736-5
FK14-2-A,PRO-00-117125-5
FK14-2-B,SPI-00-12021-5
FK14-3-A,PRO-00-10736-5
FK14-3-B,SPI-00-90512-5
FK14-4-A,PHF-11-10404-3
FK14-4-B,SPI-00-11574-5
FK14-5-A,PRO-00-10731-5
FK14-5-B,DRY-00-10474-5
FK14-6-A,PRO-00-90449-5
FK14-6-B,SPI-00-11573-5
FK14-7-A,DRY-00-10012-5
FK14-7-B,PRO-00-136070-5
FK14-8-A,PHF-11-00005-3
FK14-8-B,PHF-11-10299-3
FK14-9-A,PRO-00-90458-5
FK14-9-B,PHF-11-10704-3
FK14-10-A,DRY-00-10277-5
FK14-10-B,PRO-00-90457-5
FK15-1-A,PHF-11-10187-3
FK15-1-B,PCK-00-102736-5
FK15-2-A,SPI-00-12074-5
FK15-3-A,SPI-00-12021-5
FK15-3-B,DRY-00-148893-5
FK15-4-A,PHF-11-10074-3
FK15-4-B,SPI-00-11574-5
FK15-5-A,PRO-00-90569-5
FK15-5-B,DRY-00-148894-5
FK15-6-A,PHF-11-10433-3
FK15-6-B,PHF-11-10578-3
FK15-7-A,PHF-11-10164-3
FK15-7-B,SPI-00-101536-5
FK15-8-A,PHF-11-132610-5
FK15-8-B,SPI-00-11573-5
FK15-9-A,SPI-00-90518-5
FK15-10-A,PHF-11-10042-3
FK15-10-B,PHF-11-10299-3
FK16-1-A,PRO-00-10757-5
FK16-1-B,PCK-00-102736-5
FK16-2-A,DAI-11-100318-5
FK16-2-B,SPI-00-50271-5
FK16-3-A,PHF-11-10187-3
FK16-3-B,SPI-00-50343-5
FK16-4-A,DAI-11-100317-5
FK16-4-B,SPI-00-50299-5
FK16-5-A,PHF-11-132610-5
FK16-5-B,SPI-00-50342-5
FK16-6-A,SPI-00-90518-5
FK16-6-B,PHF-11-10791-3
FK16-7-A,PHF-11-10074-3
FK16-7-B,SPI-00-125402-5
FK16-8-A,PHF-11-00008-3
FK16-8-B,SPI-00-50298-5
FK16-9-A,PHF-11-10164-3
FK16-9-B,PHF-11-11050-3
FK16-10-A,PHF-11-11023-3
FK16-10-B,PHF-11-10836-3
FK17-1-A,DAI-00-125538-5
FK17-1-B,PCK-00-102737-5
FK17-2-A,PHF-11-10359-3
FK17-2-B,PCK-00-102736-5
FK17-3-A,PHF-11-10366-3
FK17-3-B,SPI-00-140276-5
FK17-4-A,SPI-00-139672-5
FK17-4-B,SPI-00-138740-5
FK17-5-A,PHF-11-10404-3
FK17-5-B,PRO-00-10150-5
FK17-6-A,SPI-00-13098-5
FK17-6-B,SPI-00-12126-5
FK17-7-A,PHF-11-10107-3
FK17-7-B,DRY-00-143063-5
FK17-8-A,SPI-00-12130-5
FK17-8-B,SPI-00-50089-5
